"P001001","P006001","P006002","P006003","P006005","P006008","P007010","H011001","H011002","H011003","H011004","H011006","H011009","P148B009","P148D017","PCT038016","PCT038017","PCT038018","PCT038019","NAME","state","county",
"309969","309969","192921","105870","3502","4063","7795","123326","75291","54469","19504","476","539","548","194","1754","860","951","1100","Charleston County","45","019",
"52537","52537","40304","11054","59","508","790","20495","15141","12727","2202","2","124","57","0","145","63","68","81","Cherokee County","45","021",
"34068","34068","20434","13137","111","182","244","12880","10090","6953","3060","17","17","55","0","66","15","14","12","Chester County","45","023",
"42768","42768","27429","14260","140","372","779","16557","12618","9010","3493","10","61","14","0","113","50","25","55","Chesterfield County","45","025",
"32502","32502","14571","17318","123","157","475","11812","9339","5134","4122","16","15","49","0","100","14","52","22","Clarendon County","45","027",
"38264","38264","21208","16301","68","270","451","14470","11612","7215","4226","10","93","91","0","68","14","16","30","Colleton County","45","029",
"67394","67394","38256","27902","299","382","672","25793","19849","12941","6789","54","9","80","14","219","105","111","72","Darlington County","45","031",
"30722","30722","15503","13911","62","249","505","11199","8062","4900","2967","21","33","51","0","45","21","10","38","Dillon County","45","033",
"96413","96413","68579","24016","1254","1277","1704","34709","26027","19842","5485","267","142","155","49","666","264","122","222","Dorchester County","45","035",
"24595","24595","13907","10189","122","165","407","8270","6647","4563","1999","27","24","27","6","114","35","15","12","Edgefield County","45","037",
"23454","23454","9210","14007","9","108","157","8774","6799","3255","3500","0","31","0","0","72","19","27","0","Fairfield County","45","039",
"125761","125761","73521","49405","1026","1045","1157","47147","34403","23625","10251","264","133","251","60","567","228","205","334","Florence County","45","041",
"55797","55797","33251","21576","181","316","855","21659","17606","12077","5384","28","69","102","0","173","89","75","100","Georgetown County","45","043",
"379616","379616","294647","69448","4893","4526","14015","149556","101971","88694","11457","718","594","489","235","3172","1455","1211","1201","Greenville County","45","045",
"66271","66271","43349","20933","422","666","1859","25729","17825","13813","3769","60","87","83","6","253","62","142","74","Greenwood County","45","047",
"21386","21386","9078","12013","33","108","468","7444","5817","2958","2829","8","8","48","0","24","5","18","14","Hampton County","45","049",
"196629","196629","159094","30496","1548","2295","4959","81800","59699","52412","6328","304","312","171","52","908","441","186","281","Horry County","45","051",
"20678","20678","8851","10638","109","179","1150","7042","5476","2579","2783","21","14","24","11","42","0","27","8","Jasper County","45","053",
"52647","52647","37711","13859","180","328","852","20188","16554","12648","3700","23","84","106","0","202","40","98","46","Kershaw County","45","055",
"61351","61351","43726","16535","140","440","901","23178","17435","14157","3176","19","75","52","0","262","51","31","33","Lancaster County","45","057",
"69567","69567","49848","18141","95","623","1189","26290","20355","15926","4200","7","125","62","11","187","75","47","56","Laurens County","45","059",
"20119","20119","7087","12586","15","92","607","6886","5462","2399","3038","7","15","21","0","59","0","0","6","Lee County","45","061",
"216014","216014","181965","27145","1945","1972","4848","83240","64274","58122","5079","341","373","171","84","1720","671","343","398","Lexington County","45","063",
"9958","9958","4452","5394","5","50","93","3558","2884","1590","1284","0","9","15","2","0","4","0","2","McCormick County","45","065",
"35466","35466","14823","20023","39","194","642","13301","9762","5065","4633","19","38","110","4","73","6","24","17","Marion County","45","067",
"28818","28818","12844","14643","151","197","152","10478","7423","4078","3018","43","36","106","16","35","6","35","20","Marlboro County","45","069",
"36108","36108","23194","11930","39","377","1613","14026","10759","7891","2755","6","21","12","2","140","54","19","10","Newberry County","45","071",
"66215","66215","58968","5432","264","827","1478","27283","21380","19857","1224","90","141","90","19","183","57","65","60","Oconee County","45","073",
"91582","91582","33972","55950","250","783","661","34118","25806","12044","13474","29","110","630","7","248","67","68","87","Orangeburg County","45","075",
"110757","110757","99956","7503","1316","977","1914","41306","30325","28476","1432","113","183","62","91","475","189","83","117","Pickens County","45","077",
"320677","320677","161105","144547","5611","4350","8521","120101","73759","46475","25513","750","507","1542","411","2124","851","873","1027","Richland County","45","079",
"19181","19181","12472","5678","39","130","1399","7127","5745","4317","1363","22","14","9","5","49","25","23","14","Saluda County","45","081",
"253791","253791","190592","52440","4152","2632","6972","97735","70354","59531","9417","628","374","332","116","1346","365","439","504","Spartanburg County","45","083",
"104646","104646","52480","48948","932","1353","1643","37728","26207","14943","10851","151","173","301","10","342","102","179","126","Sumter County","45","085",
"29881","29881","20201","9415","80","108","151","12087","9265","6936","2293","23","2","14","9","71","9","14","13","Union County","45","087",
"37217","37217","12202","24725","54","159","151","13714","11061","4425","6576","5","20","107","12","46","24","15","41","Williamsburg County","45","089",
"164614","164614","127314","31587","1312","1356","3045","61051","44645","38257","5533","250","152","186","50","1215","501","330","382","York County","45","091",
"3058","3058","2902","27","6","25","51","1165","886","884","0","0","0","0","0","0","0","0","0","Aurora County","46","003",
"17023","17023","16481","64","61","178","101","7210","4882","4819","20","4","14","0","4","21","16","14","10","Beadle County","46","005",
"3574","3574","1480","19","0","216","114","1123","668","469","6","0","36","0","0","8","0","0","0","Bennett County","46","007",
"7260","7260","6910","66","3","34","41","2635","2006","1993","2","0","2","0","0","9","0","2","2","Bon Homme County","46","009",
"28220","28220","27228","80","413","189","179","10665","6207","6117","6","32","7","7","34","114","70","61","27","Brookings County","46","011",
"35460","35460","33893","128","77","160","129","14638","9705","9501","16","0","21","7","0","118","34","83","71","Brown County","46","013",
"5364","5364","4800","0","13","64","35","1998","1422","1383","0","4","5","0","0","26","11","9","1","Brule County","46","015",
"2032","2032","339","2","7","76","43","526","227","86","0","0","14","0","0","0","3","0","0","Buffalo County","46","017",
"9094","9094","8755","2","48","127","309","3516","2579","2535","0","0","6","0","0","16","7","14","2","Butte County","46","019",
"1782","1782","1766","0","4","10","0","725","595","590","0","0","5","0","0","5","1","0","0","Campbell County","46","021",
"9350","9350","6456","9","8","123","184","3343","2283","1989","0","0","16","0","0","12","10","0","0","Charles Mix County","46","023",
"4143","4143","4092","0","6","19","11","1598","1289","1284","0","0","0","0","2","17","3","0","6","Clark County","46","025",
"13537","13537","12575","103","208","186","111","4878","2653","2591","18","6","0","0","30","59","24","20","17","Clay County","46","027",
"25897","25897","25103","14","65","175","255","10357","7263","7153","9","8","45","0","0","109","71","10","41","Codington County","46","029",
"4181","4181","1575","3","4","82","75","1271","752","522","0","0","6","0","0","1","0","2","0","Corson County","46","031",
